,SubjectID,StimulusType,response,RT
0,2,1,1,595
1,2,1,1,371
2,2,1,1,388
3,2,1,1,353
4,2,1,1,404
5,2,1,1,322
6,2,1,1,288
7,2,0,1,307
8,2,1,1,481
9,2,1,1,401
10,2,1,1,371
11,2,1,1,562
12,2,1,1,434
13,2,0,0,0
14,2,1,0,0
15,2,1,1,496
16,2,1,1,404
17,2,1,1,353
18,2,1,1,370
19,2,0,1,273
20,2,1,1,546
21,2,1,1,354
22,2,1,1,337
23,2,1,1,307
24,2,0,0,0
25,2,0,1,0
26,2,1,1,530
27,2,0,0,0
28,2,1,0,0
29,2,1,1,595
30,2,1,1,578
31,2,0,1,501
32,2,1,1,17
33,2,1,1,0
34,2,1,1,0
35,2,1,1,643
36,2,1,1,433
37,2,1,1,403
38,2,1,1,387
39,2,1,1,434
40,2,1,1,418
41,2,1,1,384
42,2,1,1,372
43,2,0,0,0
44,2,1,0,0
45,2,1,0,0
46,2,0,0,0
47,2,0,0,0
48,2,1,0,0
49,2,1,1,498
50,2,1,1,387
51,2,1,1,402
52,2,1,1,417
53,2,1,1,483
54,2,1,1,385
55,2,1,1,387
56,2,0,0,0
57,2,1,0,0
58,2,1,1,481
59,2,1,1,466
60,2,1,1,416
61,2,1,1,627
62,2,0,0,0
63,2,1,0,0
64,2,1,1,482
65,2,1,1,452
66,2,1,1,256
67,2,1,1,338
68,2,1,1,354
69,2,0,1,288
70,2,1,1,596
71,2,0,0,0
72,2,1,0,0
73,2,1,1,706
74,2,1,1,499
75,2,1,1,513
76,2,1,1,482
77,2,0,0,0
78,2,1,0,0
79,2,1,1,578
80,2,1,1,418
81,2,0,0,0
82,2,0,0,0
83,2,1,1,789
84,2,0,0,0
85,2,1,0,0
86,2,0,0,0
87,2,1,0,0
88,2,1,1,515
89,2,1,1,402
90,2,1,1,432
91,2,1,1,403
92,2,0,0,0
93,2,1,1,562
94,2,1,1,387
95,2,1,1,416
96,2,1,1,370
97,2,1,1,610
98,2,1,1,388
99,2,1,1,403
