,SubjectID,StimulusType,RT,accuracy
0,9001,0,42.5,0.9
1,9001,1,449.3625,0.9875
2,9002,0,39.4,0.9
3,9002,1,464.9125,0.9875
4,9003,0,14.15,0.95
5,9003,1,348.65,1.0
6,9004,0,35.0,0.9
7,9004,1,335.8375,1.0
8,9005,0,67.05,0.7
9,9005,1,370.425,1.0
10,9006,0,0.0,1.0
11,9006,1,279.875,1.0
12,9007,0,18.5,0.95
13,9007,1,359.1625,1.0
14,9008,0,14.5,0.95
15,9008,1,370.0125,1.0
16,11000,0,37.45,0.85
17,11000,1,305.6625,1.0
18,11001,0,16.6,0.95
19,11001,1,306.35,1.0
20,11002,0,68.45,0.75
21,11002,1,370.3875,0.8625
22,11003,0,131.2,0.6
23,11003,1,393.1875,0.9
24,11004,0,46.45,0.85
25,11004,1,382.5625,0.9625
26,11005,0,64.2,0.8
27,11005,1,413.3375,0.975
